Agent,Detection_F1,Precision,Recall,FP_Score,Evidence,Actions,Severity,Proactive,Generalization,Avg_Runtime,Overall,Overall_Legacy
B-coverage,0.9655,0.9333,1.0000,1.0000,1.0000,1.0000,1.0000,0.9663,1.0000,0.1,99.0,79.8
A-precision,0.9655,0.9333,1.0000,1.0000,1.0000,1.0000,1.0000,0.9471,1.0000,0.1,98.8,79.8
