site,k,pages,findings,categories,recommendations,health,runtime,error
https://www.mokobara.com,8,8,2,entity_identity|non_text_facts,10,56,9.47,
https://www.mokobara.com,12,12,2,entity_identity|non_text_facts,10,56,14.12,
https://www.mokobara.com,16,16,2,entity_identity|non_text_facts,10,56,16.4,
https://www.mokobara.com,20,20,2,entity_identity|non_text_facts,10,56,18.88,
https://www.mokobara.com,30,30,2,entity_identity|non_text_facts,10,56,26.43,
https://www.mokobara.com,45,45,2,entity_identity|non_text_facts,10,56,34.79,
https://www.iiit.ac.in,8,8,2,freshness|non_text_facts,10,56,9.4,
https://www.iiit.ac.in,12,12,2,freshness|non_text_facts,10,56,11.54,
https://www.iiit.ac.in,16,16,3,crawlability|freshness|non_text_facts,10,34,14.91,
https://www.iiit.ac.in,20,20,3,crawlability|freshness|non_text_facts,10,34,17.08,
https://www.iiit.ac.in,30,30,4,crawlability|entity_identity|freshness|non_text_facts,10,34,23.34,
https://www.iiit.ac.in,45,45,4,crawlability|entity_identity|freshness|non_text_facts,10,34,34.06,
https://www.smilefoundationindia.org,8,8,3,entity_identity|freshness|non_text_facts,10,34,7.84,
https://www.smilefoundationindia.org,12,12,3,entity_identity|freshness|non_text_facts,10,34,8.4,
https://www.smilefoundationindia.org,16,16,3,entity_identity|freshness|non_text_facts,10,34,11.02,
https://www.smilefoundationindia.org,20,20,3,entity_identity|freshness|non_text_facts,10,34,11.77,
https://www.smilefoundationindia.org,30,30,4,crawlability|entity_identity|freshness|non_text_facts,10,34,14.85,
https://www.smilefoundationindia.org,45,45,4,crawlability|entity_identity|freshness|non_text_facts,10,34,22.65,
https://www.tldraw.com,8,1,2,content_extraction|rendering,10,56,0.86,
https://www.tldraw.com,12,1,2,content_extraction|rendering,10,56,0.55,
https://www.tldraw.com,16,1,2,content_extraction|rendering,10,56,0.55,
https://www.tldraw.com,20,1,2,content_extraction|rendering,10,56,0.73,
https://www.tldraw.com,30,1,2,content_extraction|rendering,10,56,0.5,
https://www.tldraw.com,45,1,2,content_extraction|rendering,10,56,0.56,
https://beardo.in,8,8,2,entity_identity|structured_data,7,56,14.21,
https://beardo.in,12,12,2,entity_identity|structured_data,7,56,18.5,
https://beardo.in,16,16,2,entity_identity|structured_data,7,56,23.73,
https://beardo.in,20,20,2,entity_identity|structured_data,7,56,26.89,
https://beardo.in,30,30,2,entity_identity|structured_data,6,56,49.26,
https://beardo.in,45,45,2,entity_identity|structured_data,6,56,61.27,
https://www.bikanervala.com,8,8,2,crawlability|rendering,10,56,13.29,
https://www.bikanervala.com,12,12,1,entity_identity,10,78,14.0,
https://www.bikanervala.com,16,16,1,entity_identity,9,78,18.21,
https://www.bikanervala.com,20,20,1,entity_identity,9,78,19.93,
https://www.bikanervala.com,30,30,2,entity_identity|rendering,10,56,30.65,
https://www.bikanervala.com,45,45,2,entity_identity|rendering,10,56,33.08,
https://www.assocham.org,8,8,3,freshness|non_text_facts|structured_data,10,45,3.46,
https://www.assocham.org,12,12,3,freshness|non_text_facts|structured_data,10,45,4.57,
https://www.assocham.org,16,16,3,freshness|non_text_facts|structured_data,10,45,8.45,
https://www.assocham.org,20,20,3,freshness|non_text_facts|structured_data,10,45,7.46,
https://www.assocham.org,30,30,3,freshness|non_text_facts|structured_data,10,45,9.17,
https://www.assocham.org,45,45,3,freshness|non_text_facts|structured_data,10,45,14.51,
https://www.bharatforge.com,8,8,2,non_text_facts|structured_data,8,78,5.83,
https://www.bharatforge.com,12,12,2,non_text_facts|structured_data,9,78,7.2,
https://www.bharatforge.com,16,16,2,non_text_facts|structured_data,9,78,8.35,
https://www.bharatforge.com,20,20,2,non_text_facts|structured_data,9,78,9.67,
https://www.bharatforge.com,30,30,3,freshness|non_text_facts|structured_data,10,56,15.47,
https://www.bharatforge.com,45,45,4,entity_identity|freshness|non_text_facts|structured_data,10,45,20.38,
