Agent,Detection_F1,Precision,Recall,FP_Score,Evidence,Actions,Severity,Avg_Runtime,Overall
marketplace,1.0000,1.0000,1.0000,1.0000,0.7000,0.7000,0.8500,0.1,80.5
deterministic,0.7200,0.8182,0.6429,1.0000,0.3750,0.4083,0.8167,0.3,63.9
hybrid,0.6923,0.7500,0.6429,0.9700,0.3167,0.3833,0.8167,0.2,61.6
reasoning,0.6923,0.7500,0.6429,0.9700,0.2437,0.3187,0.7750,0.2,58.8
specialist,0.5294,0.4500,0.6429,0.8800,0.3750,0.2917,0.8167,0.2,56.5
baseline,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0,0.0
