agent,f1,precision,recall,tp,fp,fn,unverified_rate,findings_per_site,evidence,actions,schema,recs_per_site,crash_rate,avg_runtime_s
marketplace,0.9744,1.0,0.95,19,0,1,0.1364,1.38,1.0,1.0,1.0,6.31,0.0,0.11
deterministic,0.7879,1.0,0.65,13,0,7,0.25,1.25,0.4875,0.5375,1.0,0.0,0.0,0.2
hybrid,0.7647,0.9286,0.65,13,1,7,0.2381,1.31,0.4167,0.5357,1.0,0.0,0.0,0.19
reasoning,0.7273,0.9231,0.6,12,1,8,0.2778,1.12,0.375,0.5278,1.0,0.0,0.0,0.19
specialist,0.6364,0.5833,0.7,14,10,6,0.1724,1.81,0.4914,0.3621,1.0,0.0,0.0,0.19
baseline,0.25,0.1944,0.35,7,29,13,0.0533,10.56,0.3491,0.2825,1.0,0.0,0.0,0.55
