agent,f1,precision,recall,tp,fp,fn,unverified_rate,findings_per_site,evidence,actions,schema,recs_per_site,crash_rate,avg_runtime_s
marketplace,0.8713,0.9496,0.8049,132,7,32,0.109,1.77,1.0,1.0,1.0,7.59,0.0,0.88
reasoning,0.6135,0.875,0.4724,77,11,86,0.3529,1.56,0.2996,0.625,1.0,0.0,0.0114,1.35
hybrid,0.5874,0.6829,0.5153,84,39,79,0.2461,2.2,0.3325,0.6243,1.0,0.0,0.0114,1.83
deterministic,0.5764,0.6694,0.5061,83,41,81,0.1685,2.02,0.3596,0.618,1.0,0.0,0.0,2.0
specialist,0.5045,0.4941,0.5153,84,86,79,0.1787,2.38,0.43,0.3901,1.0,0.0,0.0114,2.01
baseline,0.2125,0.1921,0.2378,39,164,125,0.0228,17.93,0.3897,0.2755,1.0,0.0,0.0,5.34
