agent,f1,precision,recall,tp,fp,fn,unverified_rate,findings_per_site,evidence,actions,schema,recs_per_site,crash_rate,avg_runtime_s
marketplace,0.6667,0.9167,0.5238,11,1,10,0.0769,0.87,1.0,1.0,1.0,6.93,0.0,0.39
reasoning,0.6486,0.75,0.5714,12,4,9,0.3333,1.6,0.3125,0.5625,1.0,0.0,0.0,0.99
deterministic,0.5854,0.6,0.5714,12,8,9,0.0476,1.4,0.3095,0.6667,1.0,0.0,0.0,1.16
hybrid,0.5581,0.5455,0.5714,12,10,9,0.2414,1.93,0.319,0.6552,1.0,0.0,0.0,1.12
specialist,0.4706,0.4,0.5714,12,18,9,0.1429,2.33,0.4429,0.3857,1.0,0.0,0.0,1.14
baseline,0.3636,0.2941,0.4762,10,24,11,0.029,18.4,0.3786,0.2799,1.0,0.0,0.0,2.19
